time,alt_z,roll,pitch,m_hat,n0_x,n0_y,n0_z
0.057,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.107,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.157,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.207,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.257,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.307,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.357,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.407,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.457,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.507,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.557,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.607,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.657,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.707,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.757,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.807,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.857,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.907,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.957,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.007,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.057,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.107,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.157,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.207,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.257,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.307,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.357,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.407,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.457,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.507,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.557,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.607,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.657,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.707,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.757,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.807,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.857,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.907,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.957,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.007,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.057,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.107,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.157,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.207,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.257,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.307,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.357,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.407,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.457,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.507,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.557,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.607,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.657,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.707,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.757,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
